WardId,AgeBand,Probability
19100001,Age00To09,0.112313749
19100001,Age10To19,0.118866514
19100001,Age20To29,0.145951088
19100001,Age30To39,0.145413323
19100001,Age40To49,0.151773176
19100001,Age50To59,0.139328714
19100001,Age60To69,0.099140129
19100001,Age70To79,0.058728892
19100001,Age80Plus,0.028484414
19100002,Age00To09,0.115492721
19100002,Age10To19,0.119621212
19100002,Age20To29,0.18509623
19100002,Age30To39,0.147478863
19100002,Age40To49,0.14450748
19100002,Age50To59,0.111715691
19100002,Age60To69,0.084623223
19100002,Age70To79,0.058312132
19100002,Age80Plus,0.033152447
19100003,Age00To09,0.109704286
19100003,Age10To19,0.115951342
19100003,Age20To29,0.176325128
19100003,Age30To39,0.163794204
19100003,Age40To49,0.153025426
19100003,Age50To59,0.131054004
19100003,Age60To69,0.086954111
19100003,Age70To79,0.044214737
19100003,Age80Plus,0.018976764
19100004,Age00To09,0.188072058
19100004,Age10To19,0.12590685
19100004,Age20To29,0.263121848
19100004,Age30To39,0.200482119
19100004,Age40To49,0.11841935
19100004,Age50To59,0.058953632
19100004,Age60To69,0.029448744
19100004,Age70To79,0.011315725
19100004,Age80Plus,0.004279675
19100005,Age00To09,0.109743284
19100005,Age10To19,0.123855924
19100005,Age20To29,0.168854129
19100005,Age30To39,0.154050924
19100005,Age40To49,0.157931962
19100005,Age50To59,0.12905356
19100005,Age60To69,0.089794612
19100005,Age70To79,0.049472165
19100005,Age80Plus,0.01724344
19100006,Age00To09,0.222268769
19100006,Age10To19,0.167759133
19100006,Age20To29,0.267512282
19100006,Age30To39,0.173638703
19100006,Age40To49,0.094393999
19100006,Age50To59,0.049609543
19100006,Age60To69,0.017236592
19100006,Age70To79,0.005281199
19100006,Age80Plus,0.00229978
19100007,Age00To09,0.180449644
19100007,Age10To19,0.159192155
19100007,Age20To29,0.19471542
19100007,Age30To39,0.146123095
19100007,Age40To49,0.137375462
19100007,Age50To59,0.110571393
19100007,Age60To69,0.047594738
19100007,Age70To79,0.018934796
19100007,Age80Plus,0.005043298
19100008,Age00To09,0.147472367
19100008,Age10To19,0.115198814
19100008,Age20To29,0.166121613
19100008,Age30To39,0.190288985
19100008,Age40To49,0.148062696
19100008,Age50To59,0.108221709
19100008,Age60To69,0.067427877
19100008,Age70To79,0.042768423
19100008,Age80Plus,0.014437517
19100009,Age00To09,0.15632804
19100009,Age10To19,0.189363362
19100009,Age20To29,0.251004561
19100009,Age30To39,0.119368263
19100009,Age40To49,0.119910575
19100009,Age50To59,0.081610367
19100009,Age60To69,0.047217297
19100009,Age70To79,0.024789222
19100009,Age80Plus,0.010408313
19100010,Age00To09,0.148845607
19100010,Age10To19,0.144088023
19100010,Age20To29,0.21652615
19100010,Age30To39,0.157246196
19100010,Age40To49,0.129268654
19100010,Age50To59,0.091739798
19100010,Age60To69,0.060889397
19100010,Age70To79,0.03566852
19100010,Age80Plus,0.015727655
19100011,Age00To09,0.150190029
19100011,Age10To19,0.159955218
19100011,Age20To29,0.171985358
19100011,Age30To39,0.142668138
19100011,Age40To49,0.147592122
19100011,Age50To59,0.112451729
19100011,Age60To69,0.063973816
19100011,Age70To79,0.035505071
19100011,Age80Plus,0.01567852
19100012,Age00To09,0.206882942
19100012,Age10To19,0.182805067
19100012,Age20To29,0.196339587
19100012,Age30To39,0.12961057
19100012,Age40To49,0.128379111
19100012,Age50To59,0.099221244
19100012,Age60To69,0.039781248
19100012,Age70To79,0.01344389
19100012,Age80Plus,0.003536342
19100013,Age00To09,0.232722659
19100013,Age10To19,0.193365635
19100013,Age20To29,0.212791691
19100013,Age30To39,0.11579569
19100013,Age40To49,0.147981743
19100013,Age50To59,0.072865013
19100013,Age60To69,0.017071553
19100013,Age70To79,0.00545989
19100013,Age80Plus,0.001946127
19100014,Age00To09,0.201821053
19100014,Age10To19,0.157005299
19100014,Age20To29,0.193611154
19100014,Age30To39,0.161016641
19100014,Age40To49,0.137024466
19100014,Age50To59,0.09114957
19100014,Age60To69,0.038774911
19100014,Age70To79,0.015324572
19100014,Age80Plus,0.004272333
19100015,Age00To09,0.127000546
19100015,Age10To19,0.123265183
19100015,Age20To29,0.128794351
19100015,Age30To39,0.133639706
19100015,Age40To49,0.150062914
19100015,Age50To59,0.128779294
19100015,Age60To69,0.106261675
19100015,Age70To79,0.070763814
19100015,Age80Plus,0.031432517
19100016,Age00To09,0.218164095
19100016,Age10To19,0.185919463
19100016,Age20To29,0.19408595
19100016,Age30To39,0.14936437
19100016,Age40To49,0.139808948
19100016,Age50To59,0.076905192
19100016,Age60To69,0.024718139
19100016,Age70To79,0.008134229
19100016,Age80Plus,0.002899614
19100017,Age00To09,0.200726566
19100017,Age10To19,0.185593656
19100017,Age20To29,0.1840555
19100017,Age30To39,0.131787834
19100017,Age40To49,0.147368273
19100017,Age50To59,0.098120557
19100017,Age60To69,0.036811581
19100017,Age70To79,0.011268731
19100017,Age80Plus,0.004267301
19100018,Age00To09,0.22514523
19100018,Age10To19,0.185432032
19100018,Age20To29,0.241138922
19100018,Age30To39,0.150305212
19100018,Age40To49,0.100228743
19100018,Age50To59,0.067411615
19100018,Age60To69,0.021874429
19100018,Age70To79,0.006272041
19100018,Age80Plus,0.002191776
19100019,Age00To09,0.247054325
19100019,Age10To19,0.182372972
19100019,Age20To29,0.192112608
19100019,Age30To39,0.163300528
19100019,Age40To49,0.132791604
19100019,Age50To59,0.055062497
19100019,Age60To69,0.019435671
19100019,Age70To79,0.005543675
19100019,Age80Plus,0.00232612
19100020,Age00To09,0.233204931
19100020,Age10To19,0.185809766
19100020,Age20To29,0.223758882
19100020,Age30To39,0.137622424
19100020,Age40To49,0.121295192
19100020,Age50To59,0.071786536
19100020,Age60To69,0.017978445
19100020,Age70To79,0.005916027
19100020,Age80Plus,0.002627797
19100021,Age00To09,0.114112697
19100021,Age10To19,0.131851064
19100021,Age20To29,0.141404849
19100021,Age30To39,0.131839496
19100021,Age40To49,0.163766183
19100021,Age50To59,0.156122471
19100021,Age60To69,0.098939129
19100021,Age70To79,0.044509864
19100021,Age80Plus,0.017454246
19100022,Age00To09,0.18213255
19100022,Age10To19,0.171608252
19100022,Age20To29,0.184493912
19100022,Age30To39,0.143429991
19100022,Age40To49,0.124256268
19100022,Age50To59,0.097331625
19100022,Age60To69,0.064402309
19100022,Age70To79,0.025894028
19100022,Age80Plus,0.006451065
19100023,Age00To09,0.148236238
19100023,Age10To19,0.1094973
19100023,Age20To29,0.159841153
19100023,Age30To39,0.193323367
19100023,Age40To49,0.158846855
19100023,Age50To59,0.112839066
19100023,Age60To69,0.075153676
19100023,Age70To79,0.032665424
19100023,Age80Plus,0.00959692
19100024,Age00To09,0.212850508
19100024,Age10To19,0.173317125
19100024,Age20To29,0.189534599
19100024,Age30To39,0.153378282
19100024,Age40To49,0.120029378
19100024,Age50To59,0.081587228
19100024,Age60To69,0.042889436
19100024,Age70To79,0.020707963
19100024,Age80Plus,0.00570548
19100025,Age00To09,0.199440909
19100025,Age10To19,0.180635162
19100025,Age20To29,0.183398932
19100025,Age30To39,0.135563581
19100025,Age40To49,0.129440601
19100025,Age50To59,0.093645171
19100025,Age60To69,0.049980546
19100025,Age70To79,0.021648821
19100025,Age80Plus,0.006246277
19100026,Age00To09,0.164873897
19100026,Age10To19,0.144296325
19100026,Age20To29,0.18817331
19100026,Age30To39,0.161775657
19100026,Age40To49,0.136478374
19100026,Age50To59,0.099190531
19100026,Age60To69,0.061839729
19100026,Age70To79,0.032542499
19100026,Age80Plus,0.010829678
19100027,Age00To09,0.133223442
19100027,Age10To19,0.11637508
19100027,Age20To29,0.187424812
19100027,Age30To39,0.167835583
19100027,Age40To49,0.140848297
19100027,Age50To59,0.116833017
19100027,Age60To69,0.075512129
19100027,Age70To79,0.043382288
19100027,Age80Plus,0.018565351
19100028,Age00To09,0.205719994
19100028,Age10To19,0.181034424
19100028,Age20To29,0.181275357
19100028,Age30To39,0.133226469
19100028,Age40To49,0.12682665
19100028,Age50To59,0.093687645
19100028,Age60To69,0.050813087
19100028,Age70To79,0.020999996
19100028,Age80Plus,0.006416377
19100029,Age00To09,0.209118649
19100029,Age10To19,0.176405968
19100029,Age20To29,0.187806211
19100029,Age30To39,0.137009539
19100029,Age40To49,0.125834494
19100029,Age50To59,0.095928625
19100029,Age60To69,0.047638772
19100029,Age70To79,0.016007269
19100029,Age80Plus,0.004250473
19100030,Age00To09,0.19209008
19100030,Age10To19,0.170955704
19100030,Age20To29,0.176339006
19100030,Age30To39,0.140563644
19100030,Age40To49,0.133636393
19100030,Age50To59,0.100048816
19100030,Age60To69,0.051329231
19100030,Age70To79,0.026440686
19100030,Age80Plus,0.00859644
19100031,Age00To09,0.216471555
19100031,Age10To19,0.1901542
19100031,Age20To29,0.171688198
19100031,Age30To39,0.136727058
19100031,Age40To49,0.121344406
19100031,Age50To59,0.087375057
19100031,Age60To69,0.051102062
19100031,Age70To79,0.019558369
19100031,Age80Plus,0.005579093
19100032,Age00To09,0.218474715
19100032,Age10To19,0.175791246
19100032,Age20To29,0.20986303
19100032,Age30To39,0.145878446
19100032,Age40To49,0.125598012
19100032,Age50To59,0.081630254
19100032,Age60To69,0.029930978
19100032,Age70To79,0.010161994
19100032,Age80Plus,0.002671325
19100033,Age00To09,0.227215722
19100033,Age10To19,0.1576773
19100033,Age20To29,0.288268606
19100033,Age30To39,0.191783129
19100033,Age40To49,0.087249221
19100033,Age50To59,0.032264949
19100033,Age60To69,0.010398858
19100033,Age70To79,0.003407186
19100033,Age80Plus,0.001735028
19100034,Age00To09,0.22261472
19100034,Age10To19,0.163153947
19100034,Age20To29,0.282782276
19100034,Age30To39,0.176203723
19100034,Age40To49,0.091059168
19100034,Age50To59,0.042353328
19100034,Age60To69,0.014449748
19100034,Age70To79,0.004956234
19100034,Age80Plus,0.002426856
19100035,Age00To09,0.237363743
19100035,Age10To19,0.166622527
19100035,Age20To29,0.253987444
19100035,Age30To39,0.179038066
19100035,Age40To49,0.099413772
19100035,Age50To59,0.042185851
19100035,Age60To69,0.014609049
19100035,Age70To79,0.005064294
19100035,Age80Plus,0.001715255
19100036,Age00To09,0.233692695
19100036,Age10To19,0.171795105
19100036,Age20To29,0.244447442
19100036,Age30To39,0.160150653
19100036,Age40To49,0.088136837
19100036,Age50To59,0.062299088
19100036,Age60To69,0.027431608
19100036,Age70To79,0.009111719
19100036,Age80Plus,0.002934853
19100037,Age00To09,0.208329453
19100037,Age10To19,0.163557993
19100037,Age20To29,0.236838693
19100037,Age30To39,0.161145224
19100037,Age40To49,0.099457013
19100037,Age50To59,0.07591603
19100037,Age60To69,0.035255942
19100037,Age70To79,0.01307098
19100037,Age80Plus,0.006428673
19100038,Age00To09,0.214397338
19100038,Age10To19,0.15739186
19100038,Age20To29,0.215952703
19100038,Age30To39,0.152579477
19100038,Age40To49,0.100155207
19100038,Age50To59,0.075199005
19100038,Age60To69,0.047646073
19100038,Age70To79,0.026485119
19100038,Age80Plus,0.010193218
19100039,Age00To09,0.217399639
19100039,Age10To19,0.167507504
19100039,Age20To29,0.262116133
19100039,Age30To39,0.163110518
19100039,Age40To49,0.093182186
19100039,Age50To59,0.062036724
19100039,Age60To69,0.023381381
19100039,Age70To79,0.008947639
19100039,Age80Plus,0.002318276
19100040,Age00To09,0.21630335
19100040,Age10To19,0.151280038
19100040,Age20To29,0.256767488
19100040,Age30To39,0.192345602
19100040,Age40To49,0.099594379
19100040,Age50To59,0.050990606
19100040,Age60To69,0.019219684
19100040,Age70To79,0.009456396
19100040,Age80Plus,0.004042457
19100041,Age00To09,0.192752699
19100041,Age10To19,0.155818651
19100041,Age20To29,0.199900495
19100041,Age30To39,0.150685465
19100041,Age40To49,0.122628054
19100041,Age50To59,0.092032308
19100041,Age60To69,0.048239577
19100041,Age70To79,0.025720037
19100041,Age80Plus,0.012222714
19100042,Age00To09,0.201090844
19100042,Age10To19,0.173037705
19100042,Age20To29,0.240987509
19100042,Age30To39,0.163952624
19100042,Age40To49,0.105575104
19100042,Age50To59,0.06204888
19100042,Age60To69,0.031742203
19100042,Age70To79,0.016878979
19100042,Age80Plus,0.004686152
19100043,Age00To09,0.19202339
19100043,Age10To19,0.176272195
19100043,Age20To29,0.167087083
19100043,Age30To39,0.159670281
19100043,Age40To49,0.145896856
19100043,Age50To59,0.089456718
19100043,Age60To69,0.046935176
19100043,Age70To79,0.018140869
19100043,Age80Plus,0.004517433
19100044,Age00To09,0.181214538
19100044,Age10To19,0.166663355
19100044,Age20To29,0.193881345
19100044,Age30To39,0.126966626
19100044,Age40To49,0.134036339
19100044,Age50To59,0.09291023
19100044,Age60To69,0.055887702
19100044,Age70To79,0.036814686
19100044,Age80Plus,0.011625179
19100045,Age00To09,0.225894915
19100045,Age10To19,0.191207263
19100045,Age20To29,0.188702264
19100045,Age30To39,0.130970768
19100045,Age40To49,0.119577223
19100045,Age50To59,0.076963415
19100045,Age60To69,0.043118093
19100045,Age70To79,0.019097514
19100045,Age80Plus,0.004468546
19100046,Age00To09,0.176856274
19100046,Age10To19,0.164393232
19100046,Age20To29,0.177671963
19100046,Age30To39,0.131215673
19100046,Age40To49,0.126516026
19100046,Age50To59,0.104547283
19100046,Age60To69,0.069529352
19100046,Age70To79,0.038438801
19100046,Age80Plus,0.010831397
19100047,Age00To09,0.224989227
19100047,Age10To19,0.198529924
19100047,Age20To29,0.160192054
19100047,Age30To39,0.133912486
19100047,Age40To49,0.125338819
19100047,Age50To59,0.074757265
19100047,Age60To69,0.053173389
19100047,Age70To79,0.022798661
19100047,Age80Plus,0.006308175
19100048,Age00To09,0.155754261
19100048,Age10To19,0.146501648
19100048,Age20To29,0.174384826
19100048,Age30To39,0.136351423
19100048,Age40To49,0.12944045
19100048,Age50To59,0.11030858
19100048,Age60To69,0.078416897
19100048,Age70To79,0.052221071
19100048,Age80Plus,0.016620845
19100049,Age00To09,0.172438947
19100049,Age10To19,0.165708058
19100049,Age20To29,0.173922043
19100049,Age30To39,0.126334825
19100049,Age40To49,0.130940066
19100049,Age50To59,0.116138281
19100049,Age60To69,0.065949467
19100049,Age70To79,0.034475482
19100049,Age80Plus,0.014092833
19100050,Age00To09,0.198709622
19100050,Age10To19,0.181919365
19100050,Age20To29,0.161513014
19100050,Age30To39,0.134498708
19100050,Age40To49,0.141179923
19100050,Age50To59,0.083276071
19100050,Age60To69,0.05378315
19100050,Age70To79,0.036476702
19100050,Age80Plus,0.008643445
19100051,Age00To09,0.194762934
19100051,Age10To19,0.15941447
19100051,Age20To29,0.238164647
19100051,Age30To39,0.17950346
19100051,Age40To49,0.103359868
19100051,Age50To59,0.066375599
19100051,Age60To69,0.038285329
19100051,Age70To79,0.014961819
19100051,Age80Plus,0.005171874
19100052,Age00To09,0.209248517
19100052,Age10To19,0.155863088
19100052,Age20To29,0.291749294
19100052,Age30To39,0.193082638
19100052,Age40To49,0.083216822
19100052,Age50To59,0.042608215
19100052,Age60To69,0.015718516
19100052,Age70To79,0.006895582
19100052,Age80Plus,0.001617328
19100053,Age00To09,0.136696488
19100053,Age10To19,0.126375226
19100053,Age20To29,0.171536088
19100053,Age30To39,0.153127708
19100053,Age40To49,0.133371128
19100053,Age50To59,0.11081383
19100053,Age60To69,0.07900594
19100053,Age70To79,0.052247109
19100053,Age80Plus,0.036826483
19100054,Age00To09,0.09218118
19100054,Age10To19,0.071003406
19100054,Age20To29,0.195553053
19100054,Age30To39,0.175250994
19100054,Age40To49,0.132478048
19100054,Age50To59,0.120296867
19100054,Age60To69,0.109513639
19100054,Age70To79,0.068654784
19100054,Age80Plus,0.035068029
19100055,Age00To09,0.143677842
19100055,Age10To19,0.110193966
19100055,Age20To29,0.20221865
19100055,Age30To39,0.175325077
19100055,Age40To49,0.12880693
19100055,Age50To59,0.098242655
19100055,Age60To69,0.075532033
19100055,Age70To79,0.046004075
19100055,Age80Plus,0.019998772
19100056,Age00To09,0.178421757
19100056,Age10To19,0.149194993
19100056,Age20To29,0.194030187
19100056,Age30To39,0.154369974
19100056,Age40To49,0.125717886
19100056,Age50To59,0.099105108
19100056,Age60To69,0.054052292
19100056,Age70To79,0.033685655
19100056,Age80Plus,0.011422148
19100057,Age00To09,0.098038993
19100057,Age10To19,0.187302412
19100057,Age20To29,0.309024433
19100057,Age30To39,0.143131405
19100057,Age40To49,0.099825557
19100057,Age50To59,0.072911247
19100057,Age60To69,0.045482087
19100057,Age70To79,0.028046836
19100057,Age80Plus,0.01623703
19100058,Age00To09,0.133238702
19100058,Age10To19,0.123727697
19100058,Age20To29,0.193448593
19100058,Age30To39,0.162290371
19100058,Age40To49,0.134983525
19100058,Age50To59,0.110453122
19100058,Age60To69,0.076760465
19100058,Age70To79,0.041745682
